# z(m)	 Velocity(m/s)	 Re	 h(W/(m^2*C)) 	 thickness (m) 
0.05	8.88335927871	512812.185073	28491.0852129	0.02266
0.1	8.88347043708	513210.953933	28500.1568834	0.02266
0.15	8.8775222279	492200.816613	28654.9162223	0.0217311075357
0.2	8.52060395402	448549.568262	27867.2403867	0.0206164454957
0.25	8.26819155121	412149.49617	27374.2972479	0.0195017834558
0.3	8.10421747281	381370.130891	27140.7510859	0.0183871214159
0.35	8.01899102447	355018.894518	27147.4930747	0.017272459376
0.4	8.00770026717	332217.662889	27389.1617261	0.0161577973361
0.45	8.06971296626	312306.617624	27873.0871074	0.0150431352961
0.5	8.20849719445	294803.90316	28620.9055322	0.0139284732562
0.55	8.43208844852	279294.695604	29668.5811675	0.0128138112163
0.6	8.75433438179	265467.323783	31073.8793106	0.0116991491764
0.65	9.19720287516	253089.367867	32925.7870569	0.0105844871365
0.7	9.59204859724	241518.450628	34635.0315911	0.00965302958991
0.75	9.42981047383	229874.702463	34364.054655	0.00931138228997
0.8	9.30779152701	219440.846714	34224.5593051	0.00896973499003
0.85	9.22309567012	210074.546483	34212.6453655	0.00862808769008
0.9	9.17375700423	201625.636319	34324.9742276	0.00828644039014
0.95	9.15865152967	193972.873473	34561.1731802	0.0079447930902
1.0	9.17744771522	187038.002345	34925.2880822	0.00760314579025
1.05	9.23055147059	180732.455632	35422.3261097	0.00726149849031
1.1	9.31915677113	174992.858678	36061.2712353	0.00691985119037
1.15	9.44530785533	169769.787162	36854.9584367	0.00657820389042
1.2	9.61199770012	165000.039449	37818.4236842	0.00623655659048
1.25	9.64529383574	160429.941641	38264.5528858	0.006
1.3	9.31013693136	155963.024426	37246.9484162	0.006
1.35	8.99762464689	151856.938949	36299.4367039	0.006
1.4	8.70552974544	148067.87989	35414.4588533	0.006
1.45	8.4319194378	144569.022501	34586.5646851	0.006
1.5	8.17508085667	141321.510853	33809.378457	0.006
1.55	7.93349632827	138282.461468	33076.4093484	0.006
1.6	7.70585620354	135444.107219	32384.9826891	0.006
1.65	7.49094777635	132751.560637	31727.8823116	0.006
1.7	7.28771084845	130173.46671	31100.5009238	0.006
1.75	7.09517443797	127657.213765	30496.3142528	0.006
1.8	6.91248981118	125175.614842	29911.5080742	0.006
1.85	6.73888001232	122689.402887	29341.1965319	0.006
1.9	6.57370676606	120129.207237	28778.2265461	0.006
1.95	6.4163125543	117529.844342	28224.5458143	0.006
2.0	6.26616019885	114950.028301	27684.7405594	0.006
2.05	6.12280183222	112425.38205	27161.605427	0.006
2.1	5.98581980808	109981.370657	26657.0018829	0.006
2.15	5.85479592186	107613.092397	26169.7809085	0.006
2.2	5.72934931684	105317.267571	25699.0102681	0.006
2.25	5.60916092086	103113.733102	25246.1920428	0.006
2.3	5.49391129483	101000.389165	24810.6370776	0.006
2.35	5.38329860571	98969.0982598	24391.0688077	0.006
2.4	5.27704991859	97016.2404966	23986.7095415	0.006
2.45	5.17491350037	95138.5311295	23596.8473159	0.006
2.5	5.07665564909	93332.1033233	23220.7366185	0.006
