# R(m)	 Critical velocity (m/s)	 Curved critical velocity curvada 
0.0125	289.889920896	15752.0925836
0.0125	289.889920896	15752.0925836
0.0125	289.889920896	15752.0925836
0.014	226.312242541	12297.3968405
0.017	149.496918665	8123.39144627
0.02	105.051041529	5708.28308571
0.023	77.1301878172	4191.11452972
0.026	58.4996924696	3178.7671991
0.029	45.4797712333	2471.28829086
0.032	36.04063325	1958.3826508
0.035	28.9893753602	1575.23008459
0.038	23.5882192816	1281.74105832
0.041	19.3612153227	1052.0533289
0.044	15.9901576572	868.876168801
0.047	13.3831791594	727.21768501
0.05	11.6142256365	631.095958591
0.053	10.1452150158	551.272585524
0.056	8.91259988619	484.294514738
0.059	7.86870331856	427.571068369
0.062	6.97719893116	379.128336708
