0.0	31
5.0	31.0311518325	74.8945842097
10.0	31.0700733464	72.6695327444
15.0	31.1069981514	72.9609702448
20.0	31.1488333758	75.0796490784
25.0	31.2006889171	78.4368111676
30.0	31.2651258754	80.4123466049
35.0	31.3415695055	81.3168880976
40.0	31.429462878	530.162582158
45.0	32.416531343	539.805619599
50.0	33.5526072016	524.715389963
55.0	34.7984278456	82.1900903154
60.0	34.9350126904	81.3410830069
65.0	35.0861625078	79.2378811184
70.0	35.2496945477	79.115572329
75.0	35.4322529016	79.8943843646
80.0	35.6275602573	81.8097625608
85.0	35.8417166049	82.9847277467
90.0	36.0726136306	83.6569962112
95.0	36.3189521681	84.9474805069
100.0	36.585301894	85.6577433771
