# z(cm)	 Velocity(m/s)	 Re	 h(W/(cm^2*C)) 	 thickness (cm) 
5.0	8.88327031226	512493.466387	2.84838274113	2.266
10.0	8.8833814684	512891.73953	2.84928958129	2.266
15.0	8.87743331774	491894.444523	2.86476035614	2.17311075357
20.0	8.52051861733	448270.133457	2.78601035196	2.06164454957
25.0	8.26810874113	411892.471134	2.7367263498	1.95017834558
30.0	8.10413630333	381131.993325	2.71337556723	1.83871214159
35.0	8.01891070662	354796.871156	2.71404752689	1.7272459376
40.0	8.00762006014	332009.531822	2.73820614576	1.61577973361
45.0	8.0719371525	317797.899839	2.80734723131	1.50431352961
50.0	8.21346051428	306442.643325	2.90761407074	1.39284732562
55.0	8.4402303816	297369.051609	3.04289200522	1.28138112163
60.0	8.76278784368	282697.619882	3.18722977361	1.16991491764
65.0	9.20611633507	269499.078618	3.37723898311	1.05844871365
70.0	9.60140839445	257104.56738	3.55247548499	0.965302958991
75.0	9.43908184874	244630.946618	3.52457867442	0.931138228997
80.0	9.31701674389	233446.61899	3.51013779594	0.896973499003
85.0	9.2323171522	223397.153316	3.50874290539	0.862808769008
90.0	9.18301518723	214323.345277	3.52005374276	0.828644039014
95.0	9.16798611725	206096.373394	3.54403216773	0.79447930902
100.0	9.18690077603	198630.928058	3.58108291417	0.760314579025
