# z(m)	 Velocity(m/s)	 Re	 h(W/(m^2*C)) 	 thickness (m) 
0.05	8.88327031226	512493.466387	28483.8274113	0.02266
0.1	8.8833814684	512891.73953	28492.8958129	0.02266
0.15	8.87743331774	491894.444523	28647.6035614	0.0217311075357
0.2	8.52051861733	448270.133457	27860.1035196	0.0206164454957
0.25	8.26810874113	411892.471134	27367.263498	0.0195017834558
0.3	8.10413630333	381131.993325	27133.7556723	0.0183871214159
0.35	8.01891070662	354796.871156	27140.4752689	0.017272459376
0.4	8.00762006014	332009.531822	27382.0614576	0.0161577973361
0.45	8.0719371525	317797.899839	28073.4723131	0.0150431352961
0.5	8.21346051428	306442.643325	29076.1407074	0.0139284732562
0.55	8.4402303816	297369.051609	30428.9200522	0.0128138112163
0.6	8.76278784368	282697.619882	31872.2977361	0.0116991491764
0.65	9.20611633507	269499.078618	33772.3898311	0.0105844871365
0.7	9.60140839445	257104.56738	35524.7548499	0.00965302958991
0.75	9.43908184874	244630.946618	35245.7867442	0.00931138228997
0.8	9.31701674389	233446.61899	35101.3779594	0.00896973499003
0.85	9.2323171522	223397.153316	35087.4290539	0.00862808769008
0.9	9.18301518723	214323.345277	35200.5374276	0.00828644039014
0.95	9.16798611725	206096.373394	35440.3216773	0.0079447930902
1.0	9.18690077603	198630.928058	35810.8291417	0.00760314579025
