# z(cm)	 Velocity(m/s)	 Re	 h(W/(cm^2*C)) 	 thickness (cm) 
5.0	8.88327031226363	512493.46638691984	2.848382741129863	2.266
10.0	8.88338146840285	512891.73952958005	2.8492895812866084	2.266
15.0	8.877433317741069	491894.44452348887	2.864760356139355	2.173110753565349
20.0	8.520518617326928	448270.1334567597	2.7860103519555457	2.0616445495734
25.0	8.268108741126694	411892.471133635	2.7367263498022614	1.950178345581451
30.0	8.1041363033278	381131.9933246376	2.7133755672257487	1.8387121415895016
35.0	8.018910706617921	354796.8711564431	2.7140475268912874	1.7272459375975526
40.0	8.007620060136619	332009.53182152985	2.7382061457635736	1.6157797336056032
45.0	8.071937152502699	317797.8998389579	2.8073472313094276	1.504313529613654
50.0	8.213460514281019	306442.64332472015	2.9076140707400175	1.3928473256217049
55.00000000000001	8.44023038159544	297369.051609479	3.0428920052179977	1.2813811216297555
60.0	8.76278784368324	282697.6198822106	3.1872297736063855	1.1699149176378065
65.0	9.206116335072807	269499.07861780055	3.377238983108969	1.0584487136458574
70.0	9.60140839445018	257104.56738030224	3.5524754849858997	0.9653029589913444
75.0	9.439081848738548	244630.94661786308	3.5245786744234904	0.9311382289970173
80.0	9.317016743890093	233446.61898994638	3.51013779594099	0.8969734990026901
85.0	9.232317152204926	223397.15331645653	3.508742905387968	0.8628087690083629
90.0	9.183015187233893	214323.34527658578	3.520053742762883	0.8286440390140357
95.0	9.167986117254756	206096.37339418396	3.544032167727883	0.7944793090197083
100.0	9.186900776030097	198630.92805756154	3.5810829141728595	0.7603145790253811
