# z(m)	 Velocity(m/s)	 Re	 h(W/(m^2*C)) 	 thickness (m) 
0.05	8.88327031226363	512493.46638691984	28483.827411298626	0.02266
0.1	8.88338146840285	512891.73952958005	28492.89581286608	0.02266
0.15	8.877433317741069	491894.44452348887	28647.60356139355	0.02173110753565349
0.2	8.520518617326928	448270.1334567597	27860.103519555458	0.020616445495734
0.25	8.268108741126694	411892.471133635	27367.263498022614	0.01950178345581451
0.3	8.1041363033278	381131.9933246376	27133.755672257485	0.018387121415895016
0.35000000000000003	8.018910706617921	354796.8711564431	27140.475268912873	0.017272459375975525
0.4	8.007620060136619	332009.53182152985	27382.061457635737	0.016157797336056032
0.45	8.071937152502699	317797.8998389579	28073.472313094273	0.015043135296136542
0.5	8.213460514281019	306442.64332472015	29076.140707400173	0.01392847325621705
0.55	8.44023038159544	297369.051609479	30428.920052179976	0.012813811216297556
0.6	8.76278784368324	282697.6198822106	31872.297736063854	0.011699149176378066
0.65	9.206116335072807	269499.07861780055	33772.38983108969	0.010584487136458574
0.7000000000000001	9.60140839445018	257104.56738030224	35524.754849859	0.009653029589913445
0.75	9.439081848738548	244630.94661786308	35245.7867442349	0.009311382289970173
0.8	9.317016743890093	233446.61898994638	35101.377959409896	0.0089697349900269
0.85	9.232317152204926	223397.15331645653	35087.42905387968	0.008628087690083629
0.9	9.183015187233893	214323.34527658578	35200.53742762883	0.008286440390140357
0.9500000000000001	9.167986117254756	206096.37339418396	35440.32167727883	0.007944793090197083
1.0	9.186900776030097	198630.92805756154	35810.829141728595	0.0076031457902538116
