# R(m)	 Critical velocity (m/s)	 Curved critical velocity curvada 
0.0125	289.889920896	87918.5544291
0.0125	289.889920896	87918.5544291
0.0125	289.889920896	87918.5544291
0.014	226.312242541	68636.5540143
0.017	149.496918665	45339.8067099
0.02	105.051041529	31860.1477552
0.023	77.1301878172	23392.2400433
0.026	58.4996924696	17741.9359065
0.029	45.4797712333	13793.2209931
0.032	36.04063325	10930.4951557
0.035	28.9893753602	8791.97168219
0.038	23.5882192816	7153.89529372
0.041	19.3612153227	5871.91875418
0.044	15.9901576572	4849.53578919
0.047	13.3831791594	4058.88470258
0.05	11.6142256365	3522.39196734
0.053	10.1452150158	3076.86668031
0.056	8.91259988619	2703.03602062
0.059	7.86870331856	2386.44040765
0.062	6.97719893116	2116.06268371
0.065	6.21002194367	1883.39129064
0.068	5.54521627612	1681.76733253
0.071	4.96540719436	1505.9213557
0.074	4.45670014222	1351.63938372
0.077	4.00787504029	1215.5185623
0.08	3.64182304892	1104.50138093
0.083	3.38331652099	1026.10086195
0.086	3.15138825218	955.761065165
0.089	2.94251578249	892.413689933
0.092	2.75374143586	835.161724711
0.095	2.58256703746	783.247516671
0.098	2.42687083643	736.027575797
0.101	2.2848414384	692.952537786
0.104	2.15492488102	653.551112977
0.107	2.03578194717	617.417140183
0.11	1.92625351348	584.199077517
0.113	1.82533225101	553.591419685
0.116	1.73213938118	525.327648481
0.119	1.64590548077	499.174411267
0.122	1.56595454939	474.926688925
0.125	1.49169072084	452.403765629
0.128	1.42258712849	431.445851926
0.131	1.35817653477	411.911242815
0.134	1.2980434124	393.673916126
0.137	1.24181722591	376.62149491
0.14	1.18916670985	360.653512141
0.143	1.13979497839	345.679927525
0.146	1.09343533088	331.619855412
0.149	1.04984764259	318.400470157
0.152	1.00881524901	305.9560612
