# z(m)	 Pressure (Pa)
0.0125	300000.0
0.05	298859.702077
0.1	297773.341215
0.15	293191.059514
0.2	294129.593374
0.25	294278.867642
0.3	293732.915585
0.35	292521.224869
0.4	290617.42845
0.45	287937.104445
0.5	284324.802704
0.55	279525.301324
0.6	273129.533926
0.65	266439.192227
0.7	258579.605006
0.75	256093.657807
0.8	253174.927091
0.85	249816.278109
0.9	245995.82393
0.95	241676.514251
1.0	236805.152301
1.05	231309.460457
1.1	225094.104265
1.15	218034.910172
1.2	211703.346388
1.25	202751.860173
1.3	199684.97761
1.35	196705.229704
1.4	193814.082581
1.45	191011.896912
1.5	188298.076636
1.55	185670.965957
1.6	183128.905646
1.65	180669.524583
1.7	178290.325867
1.75	175988.323431
1.8	173760.509985
1.85	171603.329215
1.9	169513.501665
1.95	167487.687172
2.0	165522.729501
2.05	163615.834684
2.1	161764.666495
2.15	159966.962192
2.2	158220.382639
2.25	156522.934556
2.3	154872.758064
2.35	153268.02628
2.4	151706.990532
2.45	150187.984785
