0.0	31
5.0	31.0623036649	74.9145622982
10.0	31.1012251789	72.6900861578
15.0	31.1381499839	72.9814410512
20.0	31.1799852083	75.0995501235
25.0	31.2318407495	78.4558258093
30.0	31.2962777079	80.4308309493
35.0	31.372721338	81.335120981
40.0	31.4606147105	81.4535284657
45.0	31.5595839236	82.7252602126
50.0	31.6733293299	81.8346924898
55.0	31.7985701811	80.4047741748
60.0	31.9351550259	79.5335921281
65.0	32.0863048432	77.3732724729
70.0	32.2498368831	77.2425648486
75.0	32.4323952371	78.0353608787
80.0	32.6277025928	79.9930732788
85.0	32.8418589404	81.1902705044
90.0	33.072755966	81.8709234139
95.0	33.3190945035	83.1846091385
100.0	33.5854442295	83.9021320512
105.0	33.8701802106	84.6091492474
110.0	34.1748362201	85.4468862249
115.0	34.5020769505	85.457177938
120.0	34.8485007904	85.0533155753
125.0	35.2129501116	86.0018767367
130.0	35.6005275268	87.857747194
135.0	36.0032659414	89.2108755453
140.0	36.4173468631	90.6198410464
145.0	36.8432474059	91.3703067451
150.0	37.2757919186	91.1172037732
155.0	37.706919568	91.3421455373
160.0	38.1403589441	89.7787595011
165.0	38.5614507677	87.3971993532
170.0	38.9632012695	83.1187688875
175.0	39.3295426326	78.0178027753
180.0	39.6531167177	71.4321208908
185.0	39.9209204961	63.9928511039
190.0	40.1251937775	56.2853874413
195.0	40.2631774032	50.3615899497
200.0	40.3498766001	46.6763189239
205.0	40.4044637434	44.7579137754
210.0	40.4422022303	42.8730358381
215.0	40.4633677294	41.0908506635
220.0	40.4688543213	40.8403130233
225.0	40.4721153042	40.8187505313
230.0	40.4751702451	40.6227041252
235.0	40.4764754452	40.5081060811
240.0	40.476756317	40.4783856345
245.0	40.4767708376	40.4767708376
250.0	40.4767708376	40.4768129515
