# z(cm)	 Velocity(m/s)	 Re	 h(W/(cm^2*C)) 	 thickness (cm) 
5.0	8.88335927871	512812.185073	2.84910852129	2.266
10.0	8.88347043708	513210.953933	2.85001568834	2.266
15.0	8.8775222279	492200.816613	2.86549162223	2.17311075357
20.0	8.52060395402	448549.568262	2.78672403867	2.06164454957
25.0	8.26819155121	412149.49617	2.73742972479	1.95017834558
30.0	8.10421747281	381370.130891	2.71407510859	1.83871214159
35.0	8.01899102447	355018.894518	2.71474930747	1.7272459376
40.0	8.00770026717	332217.662889	2.73891617261	1.61577973361
45.0	8.06971296626	312306.617624	2.78730871074	1.50431352961
50.0	8.20849719445	294803.90316	2.86209055322	1.39284732562
55.0	8.43208844852	279294.695604	2.96685811675	1.28138112163
60.0	8.75433438179	265467.323783	3.10738793106	1.16991491764
65.0	9.19720287516	253089.367867	3.29257870569	1.05844871365
70.0	9.59204859724	241518.450628	3.46350315911	0.965302958991
75.0	9.42981047383	229874.702463	3.4364054655	0.931138228997
80.0	9.30779152701	219440.846714	3.42245593051	0.896973499003
85.0	9.22309567012	210074.546483	3.42126453655	0.862808769008
90.0	9.17375700423	201625.636319	3.43249742276	0.828644039014
95.0	9.15865152967	193972.873473	3.45611731802	0.79447930902
100.0	9.17744771522	187038.002345	3.49252880822	0.760314579025
105.0	9.23055147059	180732.455632	3.54223261097	0.726149849031
110.0	9.31915677113	174992.858678	3.60612712353	0.691985119037
115.0	9.44530785533	169769.787162	3.68549584367	0.657820389042
120.0	9.61199770012	165000.039449	3.78184236842	0.623655659048
125.0	9.64529383574	160429.941641	3.82645528858	0.6
130.0	9.31013693136	155963.024426	3.72469484162	0.6
135.0	8.99762464689	151856.938949	3.62994367039	0.6
140.0	8.70552974544	148067.87989	3.54144588533	0.6
145.0	8.4319194378	144569.022501	3.45865646851	0.6
150.0	8.17508085667	141321.510853	3.3809378457	0.6
155.0	7.93349632827	138282.461468	3.30764093484	0.6
160.0	7.70585620354	135444.107219	3.23849826891	0.6
165.0	7.49094777635	132751.560637	3.17278823116	0.6
170.0	7.28771084845	130173.46671	3.11005009238	0.6
175.0	7.09517443797	127657.213765	3.04963142528	0.6
180.0	6.91248981118	125175.614842	2.99115080742	0.6
185.0	6.73888001232	122689.402887	2.93411965319	0.6
190.0	6.57370676606	120129.207237	2.87782265461	0.6
195.0	6.4163125543	117529.844342	2.82245458143	0.6
200.0	6.26616019885	114950.028301	2.76847405594	0.6
205.0	6.12280183222	112425.38205	2.7161605427	0.6
210.0	5.98581980808	109981.370657	2.66570018829	0.6
215.0	5.85479592186	107613.092397	2.61697809085	0.6
220.0	5.72934931684	105317.267571	2.56990102681	0.6
225.0	5.60916092086	103113.733102	2.52461920428	0.6
230.0	5.49391129483	101000.389165	2.48106370776	0.6
235.0	5.38329860571	98969.0982598	2.43910688077	0.6
240.0	5.27704991859	97016.2404966	2.39867095415	0.6
245.0	5.17491350037	95138.5311295	2.35968473159	0.6
250.0	5.07665564909	93332.1033233	2.32207366185	0.6
