# z(m)	 Pressure (Pa)
0.0125	300000.0
0.05	298859.6008909204
0.1	297773.1376892936
0.15	293190.81699466513
0.2	294129.20166603435
0.25	294278.3399445756
0.3	293732.2601838349
0.35000000000000003	292520.446124191
0.4	290597.92399176635
0.45	287898.8876273242
0.5	284268.9755433461
0.55	279483.58655241464
0.6	273103.236329138
0.65	266433.95953973226
0.7000000000000001	258599.84815351578
0.75	256150.45173511613
0.8	253268.14340734563
0.85	249946.1161938653
0.9	246162.80431477298
0.9500000000000001	235340.66476216636
